Ticker	EntryTime	ExitTime	Return [%]	CAGR [%]	Sharpe Ratio	Max. Drawdown [%]	Win Rate [%]	# Trades	Expectancy [%]	Profit Factor	Duration	Avg. Trade [%]	Max. Trade Duration	Avg. Trade Duration
SPY	2023-06-27 13:30:00+00:00	2025-06-23 20:00:00+00:00	20.940726279296868	10.077859608796413	1.3499124657536798	-5.065054764590848	100.0	6	3.9857679176616223		727 days 06:30:00	3.956868851793982	10 days 23:00:00	4 days 19:00:00
META	2023-06-27 13:30:00+00:00	2025-06-23 19:00:00+00:00	43.51521405029295	20.014862908716168	2.707212620551871	-2.9693223456718654	100.0	15	2.8871151508379693		727 days 05:30:00	2.866883295374789	4 days 05:00:00	1 days 20:00:00
AAPL	2023-06-27 13:30:00+00:00	2025-06-23 19:00:00+00:00	10.25760498046875	5.055004318937373	1.898342611835748	-1.5241569098850216	100.0	2	10.425412636061203		727 days 05:30:00	10.425412636061203	10 days 02:00:00	10 days 02:00:00
AMZN	2023-06-27 13:30:00+00:00	2025-06-23 19:00:00+00:00	10.988517456054652	5.406130154745314	1.7736607273578597	-1.133172104048552	100.0	4	3.5773156534018247		727 days 05:30:00	3.5741116367742576	2 days 01:00:00	1 days 17:00:00
NFLX	2023-06-27 13:30:00+00:00	2025-06-23 19:00:00+00:00	19.69226745605465	9.502531621083609	0.9350764876560745	-9.172128091799546	90.9090909090909	12	1.7387555314985914	13.328455322942466	727 days 05:30:00	1.72462666688864	9 days 04:00:00	3 days 06:00:00
MRNA	2023-06-27 13:30:00+00:00	2025-06-23 19:00:00+00:00	-6.969598388671856	-3.582635095183173	-0.5411873485393249	-14.863691098237942	0.0	2	-6.976742779377998	0.0	727 days 05:30:00	-6.976742779377998	7 days 20:00:00	7 days 20:00:00
TSLA	2023-06-27 13:30:00+00:00	2025-06-23 19:00:00+00:00	68.42325363159176	30.11737861360999	1.915528696213514	-5.379092998513424	85.71428571428571	8	7.9472535709933085	27.287511461347083	727 days 05:30:00	7.816776318303487	7 days 02:00:00	3 days 11:00:00
TNA	2023-06-27 13:30:00+00:00	2025-06-23 20:00:00+00:00	0.0	0.0		-0.0		0			727 days 06:30:00			
GLD	2023-06-27 13:30:00+00:00	2025-06-23 20:00:00+00:00	0.0	0.0		-0.0		0			727 days 06:30:00			
SLV	2023-06-27 13:30:00+00:00	2025-06-23 20:00:00+00:00	0.0	0.0		-0.0		0			727 days 06:30:00			
USO	2023-06-27 13:30:00+00:00	2025-06-23 20:00:00+00:00	0.0	0.0		-0.0		0			727 days 06:30:00			
BAC	2023-06-27 13:30:00+00:00	2025-06-23 19:00:00+00:00	0.0	0.0		-0.0		0			727 days 05:30:00			
CVX	2023-06-27 13:30:00+00:00	2025-06-23 19:00:00+00:00	0.0	0.0		-0.0		0			727 days 05:30:00			
XOM	2023-06-27 13:30:00+00:00	2025-06-23 19:00:00+00:00	0.0	0.0		-0.0		1			727 days 05:30:00			
QQQ	2023-06-27 13:30:00+00:00	2025-06-23 19:00:00+00:00	19.502990722656268	9.415048278692662	1.0611392642465993	-5.498258672106527	100.0	5	6.415212302537261		727 days 05:30:00	6.379784095777374	9 days 00:00:00	4 days 09:00:00
MSFT	2023-06-27 13:30:00+00:00	2025-06-23 19:00:00+00:00	17.32350128173828	8.402707118842766	1.8476574797140541	-2.070714130763851	100.0	8	2.371290062469183		727 days 05:30:00	2.363173299831134	5 days 05:00:00	2 days 01:00:00
NVDA	2023-06-27 13:30:00+00:00	2025-06-23 19:00:00+00:00	47.613997344970706	21.73377865166919	2.0129959066603713	-3.0895499700224094	100.0	7	6.763408670585462		727 days 05:30:00	6.730717967406252	9 days 02:00:00	3 days 16:00:00
WMT	2023-06-27 13:30:00+00:00	2025-06-23 19:00:00+00:00	0.0	0.0		-0.0		0			727 days 05:30:00			
BA	2023-06-27 13:30:00+00:00	2025-06-23 19:00:00+00:00	0.0	0.0		-0.0		1			727 days 05:30:00			
DIS	2023-06-27 13:30:00+00:00	2025-06-23 19:00:00+00:00	0.0	0.0		-0.0		0			727 days 05:30:00			
CAT	2023-06-27 13:30:00+00:00	2025-06-23 19:00:00+00:00	42.94917846679691	19.77558347116808	1.882114702975028	-4.889955528322898	100.0	8	5.395854017187819		727 days 05:30:00	5.336551609977636	9 days 22:00:00	4 days 21:00:00
IBM	2023-06-27 13:30:00+00:00	2025-06-23 19:00:00+00:00	7.755850067138617	3.844370502027261	0.8661105561285037	-1.6891597026551186	100.0	3	3.86495496789091		727 days 05:30:00	3.8642228251322797	4 days 18:00:00	2 days 18:00:00
WFC	2023-06-27 13:30:00+00:00	2025-06-23 19:00:00+00:00	0.0	0.0		-0.0		0			727 days 05:30:00			
PLTR	2023-06-27 13:30:00+00:00	2025-06-23 19:00:00+00:00	0.0	0.0		-0.0		1			727 days 05:30:00			
AMD	2023-06-27 13:30:00+00:00	2025-06-23 19:00:00+00:00	1.90399658203125	0.9570487908495906	0.9138066196481242	-0.04514623532245743	100.0	2	1.9174338800176605		727 days 05:30:00	1.9174338800176605	0 days 21:00:00	0 days 21:00:00
AVGO	2023-06-27 13:30:00+00:00	2025-06-23 19:00:00+00:00	30.18638961791994	14.25014697571112	1.8717301775272184	-2.799548058553325	100.0	5	6.975427396835854		727 days 05:30:00	6.881419359821539	3 days 22:00:00	2 days 14:00:00
HOOD	2023-06-27 13:30:00+00:00	2025-06-23 19:00:00+00:00	0.0	0.0		-0.0		1			727 days 05:30:00			
CRWV	2025-03-28 16:30:00+00:00	2025-06-23 19:00:00+00:00	0.0	0.0		-0.0		0			87 days 02:30:00			
MSTR	2023-06-27 13:30:00+00:00	2025-06-23 19:00:00+00:00	338.3737894248047	110.92980152125018	1.7331120672608458	-5.688459189650463	92.3076923076923	15	12.609495045465472	196.92199389183102	727 days 05:30:00	12.121799274511137	11 days 03:00:00	3 days 03:00:00
UNH	2023-06-27 13:30:00+00:00	2025-06-23 19:00:00+00:00	12.210386047363318	5.990561982038223	1.195454019349965	-3.7421253103365193	100.0	11	1.4893465013152611		727 days 05:30:00	1.4860640222259969	11 days 19:00:00	3 days 07:00:00
GOOG	2023-06-27 13:30:00+00:00	2025-06-23 19:00:00+00:00	0.0	0.0		-0.0		0			727 days 05:30:00			
APP	2023-06-27 13:30:00+00:00	2025-06-23 19:00:00+00:00	9.925846923828122	4.895249691505454	0.3736078900651834	-18.41106836514085	50.0	6	2.75420215430531	2.092932034044601	727 days 05:30:00	2.433778822457966	6 days 02:00:00	3 days 19:00:00
UBER	2023-06-27 13:30:00+00:00	2025-06-23 19:00:00+00:00	0.0	0.0		-0.0		0			727 days 05:30:00			
